time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000010;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000020;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000040;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000080;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000160;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000320;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000640;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.001280;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.002560;0.850000;-0.039949;0.833338;0.039167;0.998787;1.000007;
0.005120;0.849999;-0.039948;0.833338;0.039166;0.998786;1.000006;
0.010240;0.849999;-0.039947;0.833337;0.039164;0.998786;1.000006;
0.020480;0.849999;-0.039944;0.833337;0.039162;0.998785;1.000005;
0.026298;0.849999;-0.039943;0.833336;0.039161;0.998784;1.000005;
0.026298;0.849999;-0.039943;0.833336;0.039161;0.998784;1.000005;
0.026308;0.849999;-0.039943;0.833336;0.039161;0.998784;1.000005;
0.026318;0.849999;-0.039943;0.833336;0.039161;0.998784;1.000005;
0.026338;0.849999;-0.039943;0.833336;0.039161;0.998784;1.000005;
0.026378;0.849999;-0.039943;0.833336;0.039160;0.998784;1.000005;
0.026458;0.849999;-0.039943;0.833336;0.039160;0.998784;1.000005;
0.026618;0.849999;-0.039943;0.833336;0.039160;0.998784;1.000005;
0.026938;0.849999;-0.039943;0.833336;0.039160;0.998784;1.000005;
0.027578;0.849999;-0.039943;0.833336;0.039160;0.998784;1.000005;
0.028858;0.849999;-0.039943;0.833336;0.039160;0.998784;1.000005;
0.031418;0.849999;-0.039942;0.833336;0.039159;0.998784;1.000005;
0.036538;0.849998;-0.039941;0.833335;0.039158;0.998783;1.000004;
0.046778;0.849998;-0.039940;0.833335;0.039157;0.998783;1.000004;
0.067258;0.849998;-0.039937;0.833334;0.039154;0.998782;1.000004;
0.108218;0.849997;-0.039934;0.833333;0.039151;0.998781;1.000003;
0.190138;0.849997;-0.039932;0.833333;0.039149;0.998780;1.000002;
0.353978;0.849997;-0.039931;0.833333;0.039148;0.998780;1.000002;
0.500000;0.849998;-0.039931;0.833333;0.039148;0.998780;1.000002;
0.500000;0.848333;-0.039931;0.833333;0.039148;0.998780;1.000002;
0.500010;0.848328;-0.039931;0.833313;0.039144;0.998779;1.000002;
0.500020;0.848323;-0.039931;0.833294;0.039141;0.998778;1.000002;
0.500040;0.848313;-0.039931;0.833257;0.039133;0.998775;1.000002;
0.500080;0.848293;-0.039931;0.833183;0.039116;0.998771;1.000002;
0.500160;0.848253;-0.039931;0.833041;0.039082;0.998760;1.000000;
