time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000010;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000020;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000040;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000080;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000160;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000320;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000640;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.001280;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.002560;0.850000;-0.039949;0.833338;0.039167;0.998787;1.000007;
0.005120;0.849999;-0.039948;0.833338;0.039166;0.998786;1.000006;
0.010240;0.849999;-0.039947;0.833337;0.039164;0.998786;1.000006;
0.020480;0.849999;-0.039944;0.833337;0.039162;0.998785;1.000005;
0.040960;0.849998;-0.039941;0.833335;0.039158;0.998783;1.000004;
0.081920;0.849998;-0.039937;0.833334;0.039154;0.998782;1.000004;
0.163840;0.849998;-0.039934;0.833333;0.039151;0.998781;1.000003;
0.327680;0.849998;-0.039932;0.833333;0.039150;0.998780;1.000002;
0.500000;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
0.500000;0.866648;-0.039932;0.833333;0.039149;0.998780;1.000002;
0.500010;0.866698;-0.039932;0.833526;0.039188;0.998791;1.000003;
0.500020;0.866748;-0.039932;0.833717;0.039227;0.998802;1.000003;
0.500040;0.866847;-0.039932;0.834095;0.039306;0.998824;1.000004;
0.500080;0.867047;-0.039932;0.834834;0.039470;0.998872;1.000009;
0.500160;0.867445;-0.039931;0.836247;0.039818;0.998975;1.000026;
0.500320;0.868238;-0.039929;0.838833;0.040565;0.999206;1.000083;
0.500640;0.869814;-0.039918;0.843231;0.042145;0.999714;1.000254;
0.500960;0.871377;-0.039898;0.846795;0.043724;1.000238;1.000462;
0.501280;0.872929;-0.039871;0.849749;0.045199;1.000735;1.000674;
0.501600;0.874473;-0.039836;0.852268;0.046521;1.001181;1.000870;
0.502240;0.877538;-0.039748;0.856563;0.048687;1.001910;1.001183;
0.502880;0.880578;-0.039640;0.860173;0.050309;1.002447;1.001396;
0.503520;0.883596;-0.039517;0.863416;0.051513;1.002833;1.001527;
0.504160;0.886593;-0.039383;0.866472;0.052423;1.003112;1.001597;
0.505440;0.892531;-0.039095;0.872372;0.053751;1.003490;1.001626;
0.506720;0.898393;-0.038789;0.878067;0.054602;1.003691;1.001550;
0.508000;0.904184;-0.038474;0.883634;0.055144;1.003777;1.001404;
0.510560;0.915556;-0.037845;0.894469;0.055613;1.003722;1.000975;
0.513120;0.926656;-0.037240;0.904911;0.055384;1.003409;1.000390;
