time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000001;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000002;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000004;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000008;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000016;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000032;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000064;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000128;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000256;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000512;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.001024;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.002048;0.850000;-0.039949;0.833338;0.039168;0.998787;1.000007;
0.004096;0.849999;-0.039949;0.833338;0.039167;0.998787;1.000006;
0.006144;0.849999;-0.039948;0.833338;0.039166;0.998786;1.000006;
0.008192;0.849999;-0.039947;0.833338;0.039165;0.998786;1.000006;
0.010240;0.849999;-0.039947;0.833337;0.039164;0.998786;1.000006;
0.014336;0.849999;-0.039946;0.833337;0.039163;0.998785;1.000005;
0.022528;0.849999;-0.039944;0.833336;0.039161;0.998784;1.000005;
0.030720;0.849998;-0.039942;0.833336;0.039159;0.998784;1.000005;
0.047104;0.849998;-0.039940;0.833335;0.039157;0.998783;1.000004;
0.079872;0.849998;-0.039937;0.833334;0.039154;0.998782;1.000003;
0.145408;0.849998;-0.039934;0.833333;0.039151;0.998781;1.000003;
0.276480;0.849998;-0.039933;0.833333;0.039150;0.998780;1.000003;
0.538624;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
1.062912;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
2.111488;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
2.999999;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
2.999999;0.849998;-0.043266;0.833333;0.039149;0.998780;1.000002;
3.000000;0.849998;-0.043267;0.833334;0.039153;0.998781;1.000003;
3.000001;0.849998;-0.043268;0.833335;0.039157;0.998783;1.000004;
3.000003;0.849998;-0.043270;0.833336;0.039165;0.998786;1.000006;
3.000007;0.849998;-0.043274;0.833339;0.039181;0.998792;1.000010;
3.000015;0.849998;-0.043282;0.833345;0.039212;0.998804;1.000017;
3.000031;0.849998;-0.043298;0.833357;0.039274;0.998827;1.000031;
3.000063;0.849998;-0.043330;0.833380;0.039395;0.998872;1.000059;
3.000127;0.849998;-0.043393;0.833425;0.039628;0.998959;1.000113;
3.000255;0.849997;-0.043520;0.833508;0.040058;0.999120;1.000212;
3.000511;0.849997;-0.043770;0.833650;0.040801;0.999397;1.000383;
3.001023;0.849995;-0.044261;0.833870;0.041955;0.999828;1.000648;
3.002047;0.849988;-0.045218;0.834173;0.043551;1.000424;1.001016;
3.004095;0.849967;-0.047064;0.834573;0.045723;1.001234;1.001516;
3.008191;0.849894;-0.050415;0.835111;0.048869;1.002407;1.002241;
3.016383;0.849674;-0.056233;0.836018;0.054671;1.004567;1.003579;
3.032767;0.849049;-0.065133;0.837145;0.063660;1.007909;1.005659;
3.049151;0.848322;-0.071930;0.837770;0.070587;1.010477;1.007265;
3.065535;0.847551;-0.077113;0.838040;0.075906;1.012449;1.008505;
3.098303;0.846017;-0.084792;0.838067;0.083827;1.015387;1.010365;
3.131071;0.844578;-0.089172;0.837538;0.088379;1.017082;1.011456;
3.196607;0.842338;-0.093346;0.836192;0.092727;1.018709;1.012531;
3.255590;0.841007;-0.094069;0.835045;0.093463;1.019002;1.012755;
3.314572;0.840195;-0.093960;0.834237;0.093322;1.018967;1.012759;
3.432537;0.839735;-0.093617;0.833723;0.092951;1.018838;1.012695;
3.668467;0.839472;-0.093483;0.833444;0.092810;1.018791;1.012675;
4.140326;0.839383;-0.093450;0.833352;0.092778;1.018781;1.012671;
5.084044;0.839366;-0.093445;0.833335;0.092774;1.018780;1.012671;
6.971481;0.839364;-0.093445;0.833333;0.092773;1.018780;1.012671;
8.000000;0.839364;-0.093445;0.833333;0.092773;1.018780;1.012671;
