time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000010;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000020;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000040;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000080;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000160;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000320;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000640;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.001280;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.002560;0.850000;-0.039949;0.833338;0.039167;0.998787;1.000007;
0.005120;0.849999;-0.039948;0.833338;0.039166;0.998786;1.000006;
0.010240;0.849999;-0.039947;0.833337;0.039164;0.998786;1.000006;
0.020480;0.849999;-0.039944;0.833337;0.039162;0.998785;1.000005;
0.040960;0.849998;-0.039941;0.833335;0.039158;0.998783;1.000004;
0.081920;0.849998;-0.039937;0.833334;0.039154;0.998782;1.000004;
0.163840;0.849998;-0.039934;0.833333;0.039151;0.998781;1.000003;
0.327680;0.849998;-0.039932;0.833333;0.039150;0.998780;1.000002;
0.500000;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
0.500000;0.849998;-0.073272;0.833333;0.039149;0.998780;1.000002;
0.500010;0.849998;-0.073372;0.833408;0.039542;0.998927;1.000093;
0.500020;0.849998;-0.073472;0.833483;0.039931;0.999072;1.000182;
0.500040;0.849998;-0.073672;0.833631;0.040701;0.999360;1.000360;
0.500080;0.849997;-0.074070;0.833919;0.042202;0.999920;1.000705;
0.500160;0.849997;-0.074863;0.834466;0.045059;1.000986;1.001362;
0.500320;0.849994;-0.076438;0.835459;0.050252;1.002920;1.002554;
0.500640;0.849985;-0.079547;0.837120;0.058976;1.006158;1.004550;
0.500960;0.849971;-0.082609;0.838436;0.065929;1.008731;1.006136;
0.501280;0.849953;-0.085634;0.839505;0.071618;1.010829;1.007429;
0.501600;0.849932;-0.088627;0.840403;0.076428;1.012600;1.008521;
0.501920;0.849908;-0.091593;0.841182;0.080634;1.014145;1.009474;
0.502240;0.849881;-0.094535;0.841879;0.084429;1.015537;1.010332;
0.502560;0.849853;-0.097455;0.842519;0.087942;1.016824;1.011126;
0.503200;0.849790;-0.103237;0.843704;0.094510;1.019224;1.012606;
0.503840;0.849720;-0.108944;0.844797;0.100649;1.021462;1.013987;
0.504480;0.849643;-0.114581;0.845836;0.106554;1.023609;1.015312;
0.505120;0.849560;-0.120150;0.846840;0.112327;1.025703;1.016604;
0.506400;0.849374;-0.131090;0.848782;0.123662;1.029801;1.019134;
0.507680;0.849164;-0.141772;0.850644;0.134747;1.033789;1.021597;
