X axis;1VSC_Measurement_Control/idref;1VSC_Measurement_Control/iqref;1VSC_Measurement_Control/ppcc;1VSC_Measurement_Control/qpcc;p3/va_t;p5/va_t;
Time (s);;;;;;;

0E0;850E-3;-39.95E-3;833E-3;39E-3;0E0;131.56362866E3;
25E-6;850.69356931E-3;-38.64095577E-3;-4.7155545031E0;-456.01455819E-3;-194.84979286E3;12.773041669E3;
50E-6;852.58992017E-3;-32.957185417E-3;-9.5266806764E0;-1.0323244893E0;-129.75557277E3;52.621857726E3;
100E-6;859.12056643E-3;-11.742611506E-3;-14.929904379E0;-1.3790293678E0;-64.838459795E3;92.453846159E3;
150E-6;866.5818667E-3;20.455238073E-3;-13.249296699E0;-1.4558547811E0;87.794419276E3;185.77489369E3;
200E-6;872.13993234E-3;56.067251072E-3;-7.3169658353E0;-1.114091593E0;229.58916424E3;272.42959867E3;
250E-6;874.83376059E-3;87.608234053E-3;-1.7923471827E0;-547.17514351E-3;305.1042947E3;318.58526584E3;
300E-6;875.5144869E-3;109.83772942E-3;735.44192967E-3;-31.983577814E-3;289.91412189E3;309.34420904E3;
350E-6;875.56658785E-3;120.87885596E-3;722.15429159E-3;235.19456039E-3;198.45846249E3;253.53018403E3;
400E-6;875.81552719E-3;122.7007251E-3;-51.911641403E-3;237.86785132E-3;76.962516223E3;179.36264165E3;
450E-6;876.35107359E-3;122.65712279E-3;-424.27397712E-3;115.2305705E-3;-15.185232245E3;123.08821383E3;
500E-6;876.95270632E-3;123.98451361E-3;-316.25694695E-3;50.439519158E-3;-30.279272853E3;113.81619522E3;
550E-6;877.45560633E-3;123.48742957E-3;-29.343090148E-3;162.11420614E-3;44.442048918E3;159.3247164E3;
600E-6;877.78257744E-3;124.19679951E-3;387.45866788E-3;465.32207766E-3;184.33741039E3;244.56451063E3;
650E-6;877.83431734E-3;129.94145805E-3;1.0715817296E0;890.36287997E-3;344.96905224E3;342.4083891E3;
700E-6;877.49505527E-3;139.43455644E-3;1.9514665487E0;1.3213667931E0;477.08991279E3;422.7999209E3;
750E-6;876.76502192E-3;150.39654519E-3;2.6346668292E0;1.639539201E0;543.050578E3;462.76665474E3;
800E-6;875.84581335E-3;160.4316035E-3;2.7081674699E0;1.764936628E0;529.972858E3;454.45801677E3;
850E-6;875.06158026E-3;167.75733536E-3;2.0947648744E0;1.6836519067E0;450.94382803E3;405.87081357E3;
900E-6;874.6772911E-3;171.63377243E-3;1.1083917911E0;1.4542430126E0;338.56600526E3;336.90979127E3;
950E-6;874.76485856E-3;172.4716318E-3;207.33836167E-3;1.1874273297E0;233.09752662E3;272.14748392E3;
1E-3;875.20259674E-3;171.65147392E-3;-292.29108278E-3;1.0039320535E0;169.07679981E3;232.6607096E3;
1.025E-3;875.52359617E-3;171.18114132E-3;-609.7043601E-3;1.0208611228E0;184.52987473E3;241.87470945E3;
1.05E-3;875.8897145E-3;170.84282224E-3;-790.17995294E-3;938.2664524E-3;162.12756686E3;227.97785489E3;
1.1E-3;876.74538042E-3;170.59671118E-3;-966.48374949E-3;825.82792229E-3;135.4796069E3;211.24348891E3;
1.15E-3;877.64049525E-3;170.48894925E-3;-947.97556662E-3;800.88549101E-3;138.06101347E3;212.31838044E3;
1.2E-3;878.49016771E-3;170.18044354E-3;-784.71427495E-3;869.04713988E-3;168.46561389E3;230.34075762E3;
1.25E-3;879.24204687E-3;169.60588779E-3;-556.80235136E-3;1.0117313777E0;219.29610289E3;260.7928524E3;
1.3E-3;879.88207013E-3;169.06818625E-3;-337.29071286E-3;1.1871977425E0;276.7922539E3;295.27477924E3;
1.35E-3;880.42778E-3;168.88408812E-3;-179.54875111E-3;1.3489657591E0;326.65092202E3;325.05710199E3;
1.4E-3;880.91739221E-3;169.07120189E-3;-112.90009354E-3;1.4613137376E0;358.62894213E3;343.88989598E3;
1.45E-3;881.39713296E-3;169.43738016E-3;-140.06288933E-3;1.5085832352E0;369.08395816E3;349.55280857E3;
1.5E-3;881.90819427E-3;169.77505005E-3;-238.18235461E-3;1.4972082862E0;361.25345299E3;344.02449435E3;
1.55E-3;882.47603944E-3;169.97018842E-3;-367.19832571E-3;1.4507411955E0;343.38599133E3;332.34129297E3;
1.6E-3;875.46394617E-3;170.02043701E-3;-484.5440118E-3;1.4003057891E0;325.5705902E3;320.66165837E3;
1.65E-3;858.4600124E-3;169.9862693E-3;-565.72868027E-3;1.3687806785E0;314.81275276E3;313.26099303E3;
1.7E-3;838.71346487E-3;169.93427154E-3;-607.09823796E-3;1.3654884464E0;313.5874185E3;311.64895843E3;
1.75E-3;818.00449043E-3;169.91801207E-3;-615.28335411E-3;1.3910608132E0;321.57974423E3;315.63239623E3;
1.8E-3;797.80684869E-3;169.97905807E-3;-604.32343126E-3;1.4373895932E0;335.79353122E3;323.38185569E3;
1.85E-3;778.10791415E-3;170.14348078E-3;-589.52841043E-3;1.4919474064E0;352.00511013E3;332.31919438E3;
1.9E-3;758.89537306E-3;170.41484408E-3;-583.62750963E-3;1.5417074884E0;366.02484438E3;339.88758836E3;
1.95E-3;740.1572157E-3;170.77322036E-3;-593.91049907E-3;1.5771164167E0;374.93544426E3;344.3072288E3;
2E-3;721.8817289E-3;171.18473647E-3;-621.32969807E-3;1.5943854183E0;377.76227168E3;344.98422278E3;
2.05E-3;704.05748868E-3;171.61608933E-3;-661.42704719E-3;1.5956982185E0;375.4642503E3;342.50479664E3;
2.1E-3;686.67335315E-3;172.04596378E-3;-706.62384391E-3;1.5876088246E0;370.35036037E3;338.27895437E3;
2.15E-3;669.71845554E-3;172.46906085E-3;-749.05788992E-3;1.5783979329E0;365.18417072E3;333.9938305E3;
2.2E-3;653.18219738E-3;172.89355069E-3;-783.00240255E-3;1.5753431131E0;362.29228996E3;331.06954976E3;
2.25E-3;637.05424189E-3;173.33545993E-3;-806.14746781E-3;1.582730772E0;362.942285E3;330.27964788E3;
2.3E-3;621.32450752E-3;173.81293163E-3;-819.55787718E-3;1.6010824618E0;367.13313732E3;331.62333009E3;
2.35E-3;605.98316166E-3;174.3414307E-3;-826.62985135E-3;1.6276257468E0;373.7949782E3;334.44752548E3;
2.4E-3;591.02061446E-3;174.93014275E-3;-831.61573075E-3;1.6576602744E0;381.27286526E3;337.74225652E3;
2.45E-3;576.42751287E-3;175.58016078E-3;-838.25085932E-3;1.686260522E0;387.90487664E3;340.49350539E3;
2.5E-3;562.19473477E-3;176.2851339E-3;-848.83024822E-3;1.7097528847E0;392.50778985E3;341.979608E3;
2.55E-3;548.31338329E-3;177.03420166E-3;-863.87449109E-3;1.7265701691E0;394.64184694E3;341.93276974E3;
2.6E-3;534.77478124E-3;177.81598298E-3;-882.35129211E-3;1.7373402648E0;394.61291629E3;340.54028922E3;
2.65E-3;521.57046565E-3;178.6220386E-3;-902.28852622E-3;1.7443164261E0;393.25511651E3;338.3118052E3;
2.7E-3;508.69218255E-3;179.44872169E-3;-921.53608957E-3;1.7504312223E0;391.5947867E3;335.87416116E3;
2.75E-3;496.13188175E-3;180.29718926E-3;-938.4275942E-3;1.7583173594E0;390.51485896E3;333.76655855E3;
2.8E-3;483.88171183E-3;181.17202222E-3;-952.16460243E-3;1.7695882499E0;390.51846225E3;332.29631051E3;
2.85E-3;471.93401524E-3;182.07917238E-3;-962.8658448E-3;1.7845435009E0;391.64446605E3;331.48734972E3;
2.9E-3;460.2813235E-3;183.02391717E-3;-971.33993465E-3;1.8023104333E0;393.53378414E3;331.1207509E3;
2.95E-3;448.91635255E-3;184.0093432E-3;-978.71026974E-3;1.8213025896E0;395.60096396E3;330.83949689E3;
3E-3;437.83199817E-3;185.03567911E-3;-986.03279345E-3;1.839804375E0;397.24240211E3;330.27557452E3;
3.05E-3;427.02133155E-3;186.10054901E-3;-994.01506947E-3;1.8564883477E0;398.01367416E3;329.1581952E3;
3.1E-3;416.47759497E-3;187.19994598E-3;-1.0028921312E0;1.8707264247E0;397.72935883E3;327.37469366E3;
