time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000001;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000002;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000004;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000008;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000006;
0.000016;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000032;0.850000;-0.039950;0.833338;0.039167;0.998787;1.000007;
0.000064;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000128;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000256;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.000512;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.001024;0.850000;-0.039950;0.833338;0.039168;0.998787;1.000007;
0.002048;0.850000;-0.039949;0.833338;0.039168;0.998787;1.000007;
0.004096;0.849999;-0.039949;0.833338;0.039167;0.998787;1.000006;
0.006144;0.849999;-0.039948;0.833338;0.039166;0.998786;1.000006;
0.008192;0.849999;-0.039947;0.833338;0.039165;0.998786;1.000006;
0.010240;0.849999;-0.039947;0.833337;0.039164;0.998786;1.000006;
0.014336;0.849999;-0.039946;0.833337;0.039163;0.998785;1.000005;
0.022528;0.849999;-0.039944;0.833336;0.039161;0.998784;1.000005;
0.030720;0.849998;-0.039942;0.833336;0.039159;0.998784;1.000005;
0.047104;0.849998;-0.039940;0.833335;0.039157;0.998783;1.000004;
0.079872;0.849998;-0.039937;0.833334;0.039154;0.998782;1.000003;
0.145408;0.849998;-0.039934;0.833333;0.039151;0.998781;1.000003;
0.276480;0.849998;-0.039933;0.833333;0.039150;0.998780;1.000003;
0.538624;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
1.062912;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
2.111488;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
2.999999;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
2.999999;0.849998;-0.039932;0.000083;0.078293;0.219692;0.093848;
3.000000;0.850006;-0.039971;0.000083;0.078295;0.219694;0.093850;
3.000001;0.850014;-0.040011;0.000083;0.078296;0.219696;0.093851;
3.000003;0.850031;-0.040089;0.000083;0.078300;0.219701;0.093853;
3.000007;0.850065;-0.040247;0.000083;0.078307;0.219711;0.093857;
3.000015;0.850132;-0.040562;0.000083;0.078321;0.219731;0.093865;
3.000031;0.850267;-0.041191;0.000083;0.078351;0.219773;0.093884;
3.000063;0.850536;-0.042450;0.000084;0.078417;0.219865;0.093923;
3.000127;0.851074;-0.044967;0.000084;0.078568;0.220077;0.094015;
3.000255;0.852149;-0.049998;0.000084;0.078938;0.220594;0.094237;
3.000511;0.854300;-0.060041;0.000085;0.079855;0.221870;0.094785;
