time;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.833338;0.039167;0.998787;1.000006;
0.000010;0.833338;0.039167;0.998787;1.000006;
0.000020;0.833338;0.039167;0.998787;1.000007;
0.000040;0.833338;0.039167;0.998787;1.000007;
0.000080;0.833338;0.039168;0.998787;1.000007;
0.000160;0.833338;0.039168;0.998787;1.000007;
0.000320;0.833338;0.039168;0.998787;1.000007;
0.000640;0.833338;0.039168;0.998787;1.000007;
0.001280;0.833338;0.039168;0.998787;1.000007;
0.002000;0.833338;0.039168;0.998787;1.000007;
0.002000;0.833338;0.039168;0.998787;1.000007;
0.002010;0.833338;0.039168;0.998787;1.000007;
0.002020;0.833338;0.039168;0.998787;1.000007;
0.002040;0.833338;0.039168;0.998787;1.000007;
0.002080;0.833338;0.039168;0.998787;1.000007;
0.002160;0.833338;0.039168;0.998787;1.000007;
0.002320;0.833338;0.039168;0.998787;1.000007;
0.002640;0.833338;0.039167;0.998787;1.000006;
0.003280;0.833338;0.039167;0.998787;1.000006;
0.004560;0.833338;0.039166;0.998786;1.000006;
0.007120;0.833338;0.039165;0.998786;1.000006;
0.012240;0.833337;0.039163;0.998785;1.000006;
0.019746;0.833337;0.039162;0.998785;1.000005;
0.019746;0.833337;0.039162;0.998785;1.000005;
0.019756;0.833337;0.039162;0.998785;1.000005;
0.019766;0.833337;0.039162;0.998785;1.000005;
0.019786;0.833337;0.039162;0.998785;1.000005;
0.019826;0.833337;0.039162;0.998785;1.000005;
0.019906;0.833337;0.039162;0.998785;1.000005;
0.020066;0.833336;0.039161;0.998785;1.000005;
0.020386;0.833336;0.039161;0.998785;1.000005;
0.021026;0.833336;0.039161;0.998785;1.000005;
0.022306;0.833336;0.039161;0.998784;1.000005;
0.024866;0.833336;0.039160;0.998784;1.000005;
0.029986;0.833336;0.039159;0.998784;1.000005;
0.040226;0.833335;0.039157;0.998783;1.000004;
0.060706;0.833334;0.039155;0.998782;1.000004;
0.101666;0.833333;0.039151;0.998781;1.000003;
0.183586;0.833333;0.039149;0.998780;1.000002;
0.347426;0.833333;0.039148;0.998780;1.000002;
0.500000;0.833333;0.039148;0.998780;1.000002;
0.500000;0.833333;0.039148;0.998780;1.000002;
0.500010;0.833408;0.039541;0.998926;1.000093;
0.500020;0.833483;0.039930;0.999072;1.000182;
0.500040;0.833630;0.040700;0.999359;1.000359;
0.500080;0.833918;0.042201;0.999920;1.000705;
0.500160;0.834466;0.045058;1.000986;1.001362;
0.500320;0.835459;0.050251;1.002919;1.002554;
0.500640;0.837120;0.058975;1.006158;1.004550;
0.500960;0.838435;0.065928;1.008730;1.006135;
0.501280;0.839505;0.071617;1.010829;1.007429;
0.501600;0.840402;0.076427;1.012599;1.008521;
0.501920;0.841181;0.080633;1.014145;1.009473;
0.502240;0.841878;0.084428;1.015537;1.010332;
0.502560;0.842519;0.087941;1.016824;1.011125;
0.503200;0.843704;0.094509;1.019224;1.012606;
0.503840;0.844797;0.100648;1.021462;1.013987;
0.504480;0.845835;0.106553;1.023609;1.015312;
0.505120;0.846840;0.112326;1.025703;1.016604;
0.506400;0.848782;0.123660;1.029800;1.019133;
0.507680;0.850644;0.134743;1.033788;1.021596;
0.510240;0.854156;0.156282;1.041488;1.026353;
0.512800;0.857396;0.176990;1.048829;1.030891;
0.517920;0.863133;0.216072;1.062525;1.039365;
0.523040;0.867947;0.252136;1.074986;1.047086;
0.528160;0.871933;0.285362;1.086324;1.054120;
0.533280;0.875181;0.315938;1.096641;1.060530;
0.538400;0.877771;0.344042;1.106029;1.066372;
0.543520;0.879780;0.369848;1.114572;1.071697;
0.548640;0.881275;0.393518;1.122346;1.076551;
