time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.00000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82984;-0.06642;1.06922;1.06870;0.82988;-0.30700;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00100;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30700;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00200;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00300;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00400;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00500;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00600;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00700;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00800;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.00900;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.01000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.01100;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.01200;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.01300;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.01400;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
0.01500;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;1.05192;-0.30779;
