time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;
0.00000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82984;-0.06642;1.06922;1.06870;0.82988;-0.30700;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;
0.01000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;
0.02000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;
0.04000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07280;1.01845;
0.08000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01059;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
0.16000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01058;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
0.32000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01058;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
0.64000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01058;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
1.28000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01058;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
2.56000;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01058;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
4.99999;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06642;1.06922;1.06870;0.82987;-0.30701;1.01058;1.03739;0.95375;-0.04475;1.02432;1.01649;0.82006;0.29647;1.07279;1.01845;
4.99999;0.08722;0.19638;0.14116;0.19368;0.50007;0.17541;0.22078;0.08623;0.10599;0.25655;0.17541;0.17777;0.06213;0.27555;0.22078;0.08190;-0.00193;0.16650;0.08722;0.15690;0.06047;0.27347;0.19638;
4.99999;0.08722;0.19639;0.14116;0.19368;0.50007;0.17541;0.22079;0.08624;0.10599;0.25656;0.17541;0.17777;0.06213;0.27555;0.22079;0.08190;-0.00193;0.16650;0.08722;0.15690;0.06047;0.27348;0.19639;
4.99999;0.08722;0.19639;0.14116;0.19368;0.50007;0.17541;0.22079;0.08624;0.10599;0.25656;0.17541;0.17777;0.06213;0.27555;0.22079;0.08190;-0.00193;0.16650;0.08722;0.15690;0.06047;0.27348;0.19639;
4.99999;0.08723;0.19640;0.14118;0.19371;0.50007;0.17542;0.22081;0.08624;0.10600;0.25657;0.17542;0.17779;0.06214;0.27557;0.22081;0.08191;-0.00193;0.16650;0.08723;0.15691;0.06047;0.27349;0.19640;
4.99999;0.08723;0.19640;0.14118;0.19371;0.50007;0.17542;0.22081;0.08624;0.10600;0.25657;0.17542;0.17779;0.06214;0.27557;0.22081;0.08191;-0.00193;0.16650;0.08723;0.15691;0.06047;0.27349;0.19640;
5.00001;0.08746;0.19695;0.14183;0.19490;0.50027;0.17607;0.22199;0.08648;0.10635;0.25716;0.17607;0.17832;0.06242;0.27657;0.22199;0.08213;-0.00190;0.16666;0.08746;0.15734;0.06071;0.27403;0.19695;
5.00002;0.08770;0.19750;0.14248;0.19608;0.50046;0.17671;0.22315;0.08672;0.10672;0.25776;0.17671;0.17885;0.06272;0.27757;0.22315;0.08235;-0.00187;0.16681;0.08770;0.15776;0.06095;0.27456;0.19750;
5.00005;0.08816;0.19857;0.14378;0.19841;0.50084;0.17799;0.22546;0.08719;0.10748;0.25898;0.17799;0.17989;0.06336;0.27957;0.22546;0.08279;-0.00182;0.16712;0.08816;0.15858;0.06142;0.27561;0.19857;
5.00011;0.08904;0.20062;0.14630;0.20287;0.50156;0.18052;0.22992;0.08812;0.10908;0.26144;0.18052;0.18190;0.06476;0.28354;0.22992;0.08362;-0.00169;0.16773;0.08904;0.16017;0.06235;0.27764;0.20062;
5.00023;0.09065;0.20438;0.15109;0.21111;0.50289;0.18539;0.23825;0.08988;0.11254;0.26643;0.18539;0.18568;0.06793;0.29130;0.23825;0.08515;-0.00141;0.16890;0.09065;0.16308;0.06417;0.28145;0.20438;
5.00039;0.09265;0.20902;0.15728;0.22140;0.50452;0.19181;0.24880;0.09216;0.11772;0.27330;0.19177;0.19048;0.07290;0.30159;0.24877;0.08706;-0.00094;0.17049;0.09265;0.16670;0.06667;0.28632;0.20902;
5.00039;0.09265;0.20902;0.15728;0.22140;0.50452;0.19181;0.24880;0.09217;0.11772;0.27336;0.19181;0.19048;0.07290;0.30166;0.24880;0.08706;-0.00094;0.17049;0.09265;0.16670;0.06667;0.28632;0.20902;
5.00041;0.09285;0.20950;0.15793;0.22246;0.50469;0.19249;0.24989;0.09241;0.11830;0.27412;0.19249;0.19099;0.07348;0.30276;0.24989;0.08726;-0.00088;0.17066;0.09285;0.16708;0.06696;0.28684;0.20950;
5.00043;0.09305;0.20997;0.15857;0.22350;0.50485;0.19316;0.25097;0.09266;0.11889;0.27487;0.19316;0.19149;0.07405;0.30386;0.25097;0.08746;-0.00082;0.17084;0.09305;0.16745;0.06724;0.28735;0.20997;
5.00047;0.09345;0.21089;0.15983;0.22554;0.50518;0.19449;0.25309;0.09313;0.12007;0.27637;0.19449;0.19247;0.07521;0.30602;0.25309;0.08784;-0.00070;0.17119;0.09345;0.16817;0.06781;0.28836;0.21089;
5.00055;0.09420;0.21263;0.16225;0.22941;0.50579;0.19704;0.25712;0.09404;0.12240;0.27927;0.19704;0.19435;0.07752;0.31018;0.25712;0.08857;-0.00044;0.17187;0.09420;0.16954;0.06893;0.29030;0.21263;
5.00070;0.09555;0.21579;0.16667;0.23641;0.50689;0.20176;0.26444;0.09574;0.12694;0.28476;0.20176;0.19780;0.08206;0.31790;0.26444;0.08990;0.00011;0.17321;0.09555;0.17205;0.07115;0.29393;0.21579;
5.00101;0.09780;0.22104;0.17415;0.24799;0.50873;0.20984;0.27667;0.09871;0.13536;0.29445;0.20984;0.20375;0.09054;0.33118;0.27667;0.09214;0.00134;0.17575;0.09780;0.17627;0.07549;0.30037;0.22104;
5.00132;0.09957;0.22519;0.18009;0.25698;0.51016;0.21633;0.28624;0.10116;0.14265;0.30241;0.21631;0.20861;0.09790;0.34182;0.28623;0.09397;0.00269;0.17816;0.09957;0.17966;0.07974;0.30592;0.22519;
5.00163;0.10101;0.22856;0.18487;0.26411;0.51132;0.22161;0.29389;0.10324;0.14892;0.30901;0.22158;0.21269;0.10418;0.35046;0.29386;0.09549;0.00415;0.18047;0.10101;0.18248;0.08392;0.31086;0.22856;
5.00194;0.10222;0.23139;0.18885;0.26998;0.51228;0.22603;0.30020;0.10505;0.15437;0.31463;0.22599;0.21624;0.10959;0.35770;0.30017;0.09681;0.00567;0.18273;0.10222;0.18490;0.08805;0.31536;0.23139;
5.00225;0.10327;0.23387;0.19227;0.27500;0.51312;0.22985;0.30560;0.10668;0.15925;0.31955;0.22982;0.21941;0.11438;0.36395;0.30558;0.09799;0.00724;0.18495;0.10327;0.18705;0.09215;0.31956;0.23387;
5.00287;0.10514;0.23828;0.19826;0.28370;0.51460;0.23657;0.31501;0.10965;0.16813;0.32833;0.23657;0.22519;0.12303;0.37494;0.31501;0.10014;0.01048;0.18936;0.10514;0.19093;0.10034;0.32748;0.23828;
5.00349;0.10680;0.24218;0.20348;0.29120;0.51589;0.24246;0.32314;0.11236;0.17622;0.33602;0.24245;0.23043;0.13081;0.38445;0.32313;0.10209;0.01383;0.19373;0.10680;0.19442;0.10853;0.33495;0.24218;
5.00411;0.10835;0.24583;0.20832;0.29812;0.51710;0.24794;0.33065;0.11495;0.18401;0.34324;0.24792;0.23541;0.13824;0.39328;0.33064;0.10393;0.01725;0.19811;0.10835;0.19771;0.11675;0.34217;0.24583;
5.00472;0.10985;0.24935;0.21299;0.30476;0.51827;0.25324;0.33786;0.11750;0.19178;0.35028;0.25323;0.24029;0.14564;0.40183;0.33786;0.10572;0.02074;0.20251;0.10985;0.20089;0.12503;0.34925;0.24935;
5.00534;0.11132;0.25281;0.21760;0.31125;0.51941;0.25848;0.34494;0.12004;0.19967;0.35727;0.25847;0.24511;0.15314;0.41025;0.34493;0.10748;0.02428;0.20693;0.11132;0.20400;0.13338;0.35624;0.25281;
5.00555;0.11182;0.25398;0.21916;0.31346;0.51980;0.26026;0.34734;0.12091;0.20240;0.35966;0.26026;0.24676;0.15574;0.41311;0.34733;0.10807;0.02551;0.20844;0.11182;0.20506;0.13625;0.35861;0.25398;
5.00555;0.11182;0.25398;0.21916;0.31346;0.51980;0.26026;0.34734;0.12091;0.20240;0.35966;0.26026;0.24676;0.15574;0.41311;0.34733;0.10807;0.02551;0.20844;0.11182;0.20506;0.13625;0.35861;0.25398;
5.00563;0.11200;0.25441;0.21973;0.31425;0.51994;0.26091;0.34821;0.12123;0.20340;0.36054;0.26091;0.24736;0.15669;0.41416;0.34821;0.10828;0.02596;0.20899;0.11200;0.20544;0.13730;0.35947;0.25441;
5.00571;0.11218;0.25484;0.22030;0.31505;0.52008;0.26156;0.34908;0.12155;0.20441;0.36140;0.26156;0.24796;0.15764;0.41520;0.34908;0.10847;0.02640;0.20952;0.11218;0.20582;0.13836;0.36033;0.25484;
5.00586;0.11255;0.25568;0.22143;0.31665;0.52036;0.26286;0.35082;0.12219;0.20642;0.36314;0.26286;0.24915;0.15956;0.41727;0.35082;0.10884;0.02730;0.21056;0.11255;0.20659;0.14046;0.36205;0.25568;
5.00617;0.11327;0.25738;0.22369;0.31981;0.52093;0.26543;0.35427;0.12347;0.21047;0.36660;0.26543;0.25154;0.16341;0.42141;0.35427;0.10947;0.02908;0.21254;0.11327;0.20812;0.14468;0.36548;0.25738;
5.00661;0.11427;0.25972;0.22683;0.32421;0.52172;0.26902;0.35907;0.12527;0.21619;0.37142;0.26902;0.25488;0.16884;0.42715;0.35907;0.11019;0.03156;0.21516;0.11427;0.21024;0.15059;0.37023;0.25972;
5.00661;0.11427;0.25972;0.22683;0.32421;0.52172;0.26902;0.35907;0.12527;0.21619;0.37142;0.26902;0.25488;0.16884;0.42715;0.35907;0.11019;0.03156;0.21516;0.11427;0.21024;0.15059;0.37023;0.25972;
5.00670;0.11447;0.26020;0.22747;0.32510;0.52188;0.26975;0.36004;0.12564;0.21738;0.37241;0.26975;0.25556;0.16996;0.42832;0.36004;0.11031;0.03207;0.21566;0.11447;0.21062;0.15179;0.37118;0.26020;
5.00679;0.11468;0.26068;0.22810;0.32598;0.52205;0.27048;0.36100;0.12602;0.21856;0.37339;0.27048;0.25625;0.17106;0.42947;0.36100;0.11042;0.03257;0.21616;0.11468;0.21094;0.15298;0.37211;0.26068;
5.00696;0.11508;0.26163;0.22937;0.32772;0.52238;0.27193;0.36290;0.12677;0.22092;0.37536;0.27193;0.25761;0.17324;0.43175;0.36290;0.11063;0.03357;0.21715;0.11508;0.21146;0.15532;0.37392;0.26163;
5.00732;0.11588;0.26348;0.23186;0.33108;0.52306;0.27480;0.36658;0.12828;0.22565;0.37924;0.27480;0.26032;0.17749;0.43616;0.36658;0.11100;0.03554;0.21906;0.11588;0.21203;0.15986;0.37733;0.26348;
5.00804;0.11744;0.26705;0.23672;0.33744;0.52442;0.28040;0.37354;0.13132;0.23512;0.38688;0.28040;0.26567;0.18564;0.44452;0.37354;0.11157;0.03942;0.22271;0.11744;0.21185;0.16850;0.38357;0.26705;
5.00875;0.11895;0.27046;0.24145;0.34340;0.52578;0.28587;0.38007;0.13439;0.24463;0.39437;0.28587;0.27092;0.19343;0.45238;0.38007;0.11194;0.04324;0.22619;0.11895;0.21044;0.17673;0.38927;0.27046;
5.00959;0.12068;0.27433;0.24689;0.35010;0.52735;0.29218;0.38741;0.13801;0.25592;0.40305;0.29218;0.27703;0.20238;0.46124;0.38741;0.11216;0.04772;0.23018;0.12068;0.20803;0.18617;0.39563;0.27433;
5.00959;0.12068;0.27433;0.24689;0.35010;0.52735;0.29218;0.38741;0.13801;0.25592;0.40305;0.29218;0.27703;0.20238;0.46124;0.38741;0.11216;0.04772;0.23018;0.12068;0.20803;0.18617;0.39563;0.27433;
5.00970;0.12089;0.27481;0.24755;0.35092;0.52756;0.29293;0.38831;0.13842;0.25726;0.40408;0.29293;0.27781;0.20349;0.46233;0.38831;0.11217;0.04829;0.23067;0.12089;0.20762;0.18735;0.39639;0.27481;
