time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.00000;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30702;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29647;1.07282;1.01847;1.88669;-1.00574;
0.00100;1.01644;1.01840;1.05086;1.02585;1.00051;1.06864;1.03733;0.82979;-0.06643;1.06916;1.06864;0.82983;-0.30700;1.01053;1.03733;0.95371;-0.04478;1.02427;1.01644;0.82003;0.29643;1.07274;1.01840;1.88669;-1.00574;
0.00200;1.01644;1.01840;1.05086;1.02585;1.00051;1.06864;1.03733;0.82979;-0.06643;1.06916;1.06864;0.82983;-0.30700;1.01053;1.03733;0.95371;-0.04478;1.02427;1.01644;0.82003;0.29643;1.07274;1.01840;1.88669;-1.00574;
0.00300;1.01646;1.01842;1.05087;1.02587;1.00053;1.06866;1.03735;0.82981;-0.06643;1.06918;1.06866;0.82985;-0.30700;1.01055;1.03735;0.95372;-0.04477;1.02429;1.01646;0.82004;0.29644;1.07276;1.01842;1.88669;-1.00574;
0.00400;1.01647;1.01843;1.05089;1.02589;1.00054;1.06868;1.03737;0.82982;-0.06643;1.06920;1.06868;0.82986;-0.30701;1.01057;1.03737;0.95374;-0.04476;1.02431;1.01647;0.82005;0.29645;1.07278;1.01843;1.88669;-1.00574;
0.00500;1.01649;1.01845;1.05091;1.02590;1.00055;1.06870;1.03739;0.82983;-0.06643;1.06921;1.06870;0.82988;-0.30701;1.01059;1.03739;0.95375;-0.04476;1.02432;1.01649;0.82006;0.29646;1.07279;1.01845;1.88669;-1.00574;
0.00600;1.01650;1.01846;1.05092;1.02591;1.00056;1.06871;1.03740;0.82984;-0.06643;1.06922;1.06871;0.82988;-0.30702;1.01059;1.03740;0.95376;-0.04475;1.02433;1.01650;0.82007;0.29647;1.07280;1.01846;1.88669;-1.00574;
0.00700;1.01650;1.01846;1.05092;1.02592;1.00057;1.06871;1.03740;0.82984;-0.06643;1.06923;1.06871;0.82989;-0.30702;1.01060;1.03740;0.95377;-0.04475;1.02433;1.01650;0.82007;0.29647;1.07281;1.01846;1.88669;-1.00574;
0.00800;1.01650;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06923;1.06872;0.82989;-0.30702;1.01060;1.03741;0.95377;-0.04475;1.02434;1.01650;0.82008;0.29647;1.07281;1.01847;1.88669;-1.00574;
0.00900;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30702;1.01061;1.03741;0.95377;-0.04475;1.02434;1.01651;0.82008;0.29647;1.07282;1.01847;1.88669;-1.00574;
