time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.00000;1.00774;1.00558;1.03204;0.99273;1.00015;1.04773;0.99991;0.83009;-0.06108;1.04904;1.04773;0.83004;-0.32641;0.97019;0.99991;-0.93782;-0.08495;1.00017;1.00774;-0.94575;0.20367;1.04100;1.00558;0.99999;0.00039;
0.01000;1.00756;1.00540;1.03184;0.99253;0.99999;1.04753;0.99971;0.82993;-0.06113;1.04883;1.04753;0.82986;-0.32638;0.96999;0.99971;-0.93765;-0.08491;0.99999;1.00756;-0.94557;0.20362;1.04082;1.00540;0.99999;0.00039;
0.02000;1.00764;1.00548;1.03193;0.99262;1.00006;1.04762;0.99980;0.83000;-0.06108;1.04893;1.04762;0.82993;-0.32641;0.97007;0.99980;-0.93772;-0.08493;1.00007;1.00764;-0.94564;0.20363;1.04090;1.00548;0.99999;0.00039;
0.03000;1.00756;1.00540;1.03185;0.99253;0.99999;1.04753;0.99971;0.82994;-0.06110;1.04884;1.04753;0.82985;-0.32640;0.96998;0.99971;-0.93765;-0.08492;0.99999;1.00756;-0.94557;0.20362;1.04082;1.00540;0.99999;0.00039;
0.04000;1.00762;1.00546;1.03192;0.99260;1.00005;1.04761;0.99978;0.82999;-0.06107;1.04892;1.04761;0.82991;-0.32642;0.97005;0.99978;-0.93770;-0.08493;1.00005;1.00762;-0.94563;0.20363;1.04088;1.00546;0.99999;0.00039;
0.05000;1.00755;1.00540;1.03184;0.99252;0.99999;1.04753;0.99970;0.82993;-0.06109;1.04884;1.04753;0.82985;-0.32641;0.96997;0.99970;-0.93764;-0.08493;0.99999;1.00755;-0.94556;0.20362;1.04082;1.00540;0.99999;0.00039;
0.06000;1.00761;1.00545;1.03191;0.99258;1.00003;1.04759;0.99976;0.82998;-0.06107;1.04890;1.04759;0.82990;-0.32641;0.97003;0.99976;-0.93769;-0.08494;1.00004;1.00761;-0.94562;0.20362;1.04087;1.00545;0.99999;0.00039;
0.07000;1.00755;1.00540;1.03184;0.99252;0.99998;1.04753;0.99970;0.82993;-0.06109;1.04884;1.04753;0.82985;-0.32640;0.96997;0.99970;-0.93764;-0.08493;0.99999;1.00755;-0.94556;0.20361;1.04081;1.00540;0.99999;0.00039;
0.08000;1.00760;1.00544;1.03190;0.99258;1.00003;1.04758;0.99976;0.82998;-0.06108;1.04889;1.04758;0.82989;-0.32641;0.97003;0.99976;-0.93769;-0.08494;1.00003;1.00760;-0.94561;0.20362;1.04086;1.00544;0.99999;0.00039;
0.09000;1.00755;1.00540;1.03184;0.99253;0.99999;1.04753;0.99971;0.82994;-0.06109;1.04884;1.04753;0.82985;-0.32640;0.96998;0.99971;-0.93765;-0.08493;0.99999;1.00755;-0.94557;0.20361;1.04082;1.00540;0.99999;0.00039;
0.10000;1.00759;1.00544;1.03189;0.99257;1.00002;1.04758;0.99975;0.82997;-0.06108;1.04889;1.04758;0.82989;-0.32640;0.97002;0.99975;-0.93768;-0.08494;1.00003;1.00759;-0.94561;0.20362;1.04086;1.00544;0.99999;0.00039;
0.11000;1.00756;1.00540;1.03185;0.99253;0.99999;1.04754;0.99971;0.82994;-0.06109;1.04884;1.04754;0.82986;-0.32640;0.96998;0.99971;-0.93765;-0.08493;0.99999;1.00756;-0.94557;0.20361;1.04082;1.00540;0.99999;0.00039;
0.12000;1.00759;1.00544;1.03189;0.99257;1.00002;1.04758;0.99975;0.82997;-0.06108;1.04888;1.04758;0.82989;-0.32640;0.97002;0.99975;-0.93768;-0.08493;1.00003;1.00759;-0.94560;0.20362;1.04085;1.00544;0.99999;0.00039;
0.13000;1.00756;1.00540;1.03185;0.99253;0.99999;1.04754;0.99971;0.82994;-0.06109;1.04885;1.04754;0.82986;-0.32639;0.96998;0.99971;-0.93765;-0.08493;0.99999;1.00756;-0.94557;0.20361;1.04082;1.00540;0.99999;0.00039;
0.14000;1.00759;1.00543;1.03188;0.99257;1.00002;1.04757;0.99975;0.82997;-0.06109;1.04888;1.04757;0.82989;-0.32640;0.97002;0.99975;-0.93768;-0.08493;1.00002;1.00759;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
0.15000;1.00756;1.00541;1.03185;0.99254;0.99999;1.04754;0.99972;0.82995;-0.06110;1.04885;1.04754;0.82986;-0.32639;0.96999;0.99972;-0.93765;-0.08493;1.00000;1.00756;-0.94557;0.20361;1.04083;1.00541;0.99999;0.00039;
0.16000;1.00759;1.00543;1.03188;0.99257;1.00002;1.04757;0.99975;0.82997;-0.06109;1.04888;1.04757;0.82989;-0.32640;0.97002;0.99975;-0.93768;-0.08493;1.00002;1.00759;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
0.17000;1.00756;1.00541;1.03186;0.99254;1.00000;1.04754;0.99972;0.82995;-0.06110;1.04885;1.04754;0.82986;-0.32639;0.96999;0.99972;-0.93766;-0.08493;1.00000;1.00756;-0.94558;0.20362;1.04083;1.00541;0.99999;0.00039;
0.18000;1.00759;1.00543;1.03188;0.99256;1.00002;1.04757;0.99974;0.82997;-0.06109;1.04888;1.04757;0.82988;-0.32640;0.97001;0.99974;-0.93768;-0.08493;1.00002;1.00759;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
